#   AT_  AT_  AT_  AT_  AT_  AT_   iEq
  4.02  7.73  7.90 13.12 23.92 34.03   0
 21.72 18.54 15.77 26.92 12.70 17.37   1
 18.94 15.75 12.90 24.13  9.75 16.83   1
 15.10 11.92  9.01 20.28  5.81 13.05   1
 41.64 30.17  4.25 18.52  2.79  8.44   0
 20.10 16.91 14.09 25.30 10.99 18.27   1
 22.08 18.90 16.00 27.26 12.80 20.18   1
 12.81 35.25 41.93 38.41 16.28 22.40   0
 15.57 12.38  9.55 20.77  6.41 11.48   1
 20.24 17.06 14.27 25.44 11.19 16.89   1
 31.96 31.61  2.75 19.77 13.05 15.31   0
 12.03 40.12 23.74 24.83 14.79 15.46   0
  1.94 26.88 42.21 42.33 40.72  8.89   0
  9.04 26.09 39.59 42.32  3.88 14.57   0
  8.16 33.66 16.35  4.76 32.16 38.63   0
 35.27 41.39 42.82 38.64 27.81 40.74   0
 16.51 13.33 10.49 21.71  7.35 13.30   1
 14.45 11.26  8.44 19.65  5.31 10.15   1
  4.74 38.89 34.42 14.55 35.95 22.68   0
 19.26 16.09 13.35 24.47 10.34 15.88   1
 24.74 21.56 18.79 29.94 15.73 21.22   1
 22.14 35.59 41.77 28.23 39.91 30.56   0
 32.04 39.45 34.28 26.59 13.43  7.47   0
 21.22 39.55 10.65 13.99 31.54 31.93   0
 26.56 23.39 20.64 31.77 17.63 23.64   1
 26.12 22.93 20.07 31.31 16.89 21.58   1
 35.04 24.82 42.25  7.29  2.27 26.37   0
 35.04 24.82 42.25  7.29  2.27 26.37   0
 34.29  2.36 42.12 23.20  9.88 38.38   0
 25.22 35.95 41.11  9.24 31.45 30.81   0
 22.02 18.84 15.94 27.21 12.75 19.67   1
 18.12 14.94 12.04 23.30  8.85 16.43   1
 23.91 20.74 17.95 29.12 14.91 21.97   1
 22.41 19.23 16.33 27.60 13.14 17.99   1
 19.26 16.09 13.35 24.47 10.34 15.88   1
 39.53 11.10  6.49 14.58 37.25 36.55   0
 16.19 13.01 10.13 21.38  6.93 12.13   1
 39.53 11.10  6.49 14.58 37.25 36.55   0
 38.55 11.79 15.86  8.80 39.52 31.18   0
 33.66  3.33 21.93  8.72 27.95 24.55   0
 18.32 15.16 12.45 23.53  9.48 14.38   1
 38.12 19.63 35.26  7.14 31.08 31.09   0
 14.86 11.70  8.98 20.07  6.02 11.61   1
 12.74  9.57  6.83 17.94  3.87 10.61   1
 23.60 20.43 17.69 28.81 14.69 20.02   1
 21.22 39.55 10.65 13.99 31.54 31.93   0
 22.86 19.68 16.79 28.05 13.61 19.91   1
 32.04 39.45 34.28 26.59 13.43  7.47   0
 14.99 18.52  6.79  6.43 18.68 27.37   0
  5.81 18.30  2.80 40.58 40.95 35.62   0
 24.11 20.93 18.07 29.31 14.91 20.92   1
 26.45 23.27 20.42 31.65 17.29 24.71   1
 25.15  8.38 25.20 22.95 38.11 31.77   0
 31.96 31.61  2.75 19.77 13.05 15.31   0
 20.27 17.09 14.24 25.47 11.07 15.73   1
 18.65 15.46 12.59 23.84  9.42 15.47   1
 25.22 35.95 41.11  9.24 31.45 30.81   0
 24.11 20.93 18.07 29.31 14.91 20.92   1
 25.15  8.38 25.20 22.95 38.11 31.77   0
 40.86 28.82 17.97 34.69 14.53 25.27   0
 27.61 18.64 16.51  2.56 38.08 29.74   0
 21.69 18.51 15.74 26.89 12.69 18.24   1
 26.05 22.05 21.82 12.39 26.84 33.19   0
 43.62 18.13 38.73 25.31 41.72 38.82   0
  1.91 19.52 20.06 11.20 36.46 32.81   0
  9.04 26.09 39.59 42.32  3.88 14.57   0
 27.16 24.73 27.89 30.31 11.27 34.65   0
  8.32 32.48  6.43 16.79 26.81  5.40   0
 39.04 42.57 26.35 16.64 14.80 38.22   0
 21.05 17.86 15.00 26.24 11.84 18.65   1
 25.14 21.97 19.22 30.35 16.18 20.68   1
 21.14  5.58 10.79 39.44 18.80 23.89   0
 32.04 39.45 34.28 26.59 13.43  7.47   0
 15.30 12.12  9.25 20.49  6.06 11.58   1
  9.18 27.57 19.70 34.55 34.32 12.64   0
 14.44 11.25  8.40 19.63  5.24 11.36   1
 41.64 30.17  4.25 18.52  2.79  8.44   0
 13.14  9.95  7.06 18.32  3.86 10.38   1
 14.45 11.26  8.44 19.65  5.31 10.15   1
 24.10 20.92 18.02 29.29 14.82 19.41   1
 23.15 19.98 17.26 28.35 14.36 21.40   1
  4.74 38.89 34.42 14.55 35.95 22.68   0
 15.33 16.02 19.92 25.75 27.38  8.57   0
 25.65 22.47 19.60 30.84 16.42 22.82   1
 12.56 23.31  5.20 31.48 38.76 25.22   0
 18.94 15.75 12.90 24.13  9.75 16.83   1
 21.12 17.94 15.17 26.32 12.13 18.28   1
 21.51 18.33 15.46 26.70 12.29 19.04   1
  2.83 36.61 16.80 41.00 21.63  6.35   0
  9.04 26.09 39.59 42.32  3.88 14.57   0
 14.86 11.70  8.98 20.07  6.02 11.61   1
 20.29 42.94  6.29  6.10 32.54 26.09   0
 16.51 13.33 10.49 21.71  7.35 13.30   1
 15.32 29.09  4.13  3.35 14.80 26.22   0
 15.57 12.38  9.55 20.77  6.41 11.48   1
 18.06 14.88 12.08 23.26  9.03 16.42   1
 34.01 38.70 16.59 27.29  4.22 16.75   0
 20.13 16.97 14.26 25.34 11.35 17.80   1
 10.57  6.92 31.98 42.59 23.87 20.00   0
 38.12 19.63 35.26  7.14 31.08 31.09   0
 15.76 26.27 10.78 12.43 40.84 36.29   0
 17.48 14.29 11.49 22.68  8.39 13.33   1
 14.93 11.74  8.92 20.13  5.79 11.41   1
  2.83 36.61 16.80 41.00 21.63  6.35   0
  8.08 22.40 43.29 17.83 31.50  8.51   0
 15.19 42.81  9.68 29.49 25.55  3.22   0
  1.09  2.79  7.06 26.55  5.55 13.69   0
 23.15 19.98 17.26 28.35 14.36 21.40   1
 13.14  9.95  7.06 18.32  3.86 10.38   1
 20.89 17.71 14.86 26.09 11.72 18.64   1
 12.16 41.08 41.09 32.82 39.90 11.13   0
  7.52 25.28 23.56 41.64 21.52 22.47   0
 19.07 15.90 13.19 24.28 10.21 15.69   1
 18.51 15.32 12.50 23.71  9.37 14.24   1
 25.20 22.01 19.13 30.39 15.95 21.77   1
 26.45 23.27 20.42 31.65 17.29 24.71   1
 19.71  4.04 35.86 37.99  6.60  9.25   0
 18.79 15.62 12.89 24.00  9.89 14.68   1
 14.59 11.41  8.50 19.77  5.29 13.06   1
 17.15 13.97 11.14 22.35  7.99 12.88   1
 37.58 32.09 30.57 21.18 37.60 29.39   0
 19.32 31.74 33.81  9.30 37.86  2.23   0
 18.12 14.94 12.04 23.30  8.85 16.43   1
 21.05 17.86 15.00 26.24 11.84 18.65   1
 21.72 18.54 15.73 26.92 12.65 20.30   1
 17.35 14.16 11.30 22.54  8.13 14.31   1
 14.59 11.41  8.50 19.77  5.29 13.06   1
 32.04 39.45 34.28 26.59 13.43  7.47   0
 18.65 15.46 12.59 23.84  9.42 15.47   1
 21.69 18.51 15.74 26.89 12.69 18.24   1
 26.22 23.04 20.17 31.41 16.99 22.19   1
 25.20 22.01 19.13 30.39 15.95 21.77   1
 16.63 13.46 10.69 21.84  7.64 13.23   1
 20.13 16.97 14.26 25.34 11.35 17.80   1
  6.65 42.62  8.72 33.48 21.59 33.81   0
 25.17 21.98 19.09 30.35 15.88 22.55   1
  2.83 36.61 16.80 41.00 21.63  6.35   0
 27.25 24.07 21.29 32.45 18.21 23.43   1
 21.12 17.94 15.17 26.32 12.13 18.28   1
 15.32 29.09  4.13  3.35 14.80 26.22   0
  7.21 28.64 38.76 32.67 23.03  6.78   0
 20.27 17.09 14.24 25.47 11.07 15.73   1
 14.59 11.41  8.50 19.77  5.29 13.06   1
 26.56 23.39 20.64 31.77 17.63 23.64   1
 16.35 13.17 10.36 21.56  7.24 11.75   1
 34.01 38.70 16.59 27.29  4.22 16.75   0
